gaze_direction_left_x,gaze_direction_left_y,gaze_direction_left_z,gaze_direction_right_x,gaze_direction_right_y,gaze_direction_right_z,gaze_direction_combined_x,gaze_direction_combined_y,gaze_direction_combined_z,gaze_origin_left_x,gaze_origin_left_y,gaze_origin_left_z,gaze_origin_right_x,gaze_origin_right_y,gaze_origin_right_z,pupil_diameter_left,pupil_diameter_right,pupil_position_left_x,pupil_position_left_y,pupil_positi_right_x,pupil_positin_right_y,eye_open_left,eye_open_right,time,validity,emotion
-0.1897888,-0.204895,0.9602051,-0.1520538,-0.08743286,-0.08743286,-0.157135,-0.1028748,0.982193,0,0,0,0,0,0,4.148483,4.417679,0.5654746,0.9004339,0.3634,0.8063469,1,1,0.796271,True,False
-0.1597595,-0.2030792,0.9660339,-0.1513824,-0.08065796,-0.08065796,-0.1524506,-0.09463501,0.9837646,0,0,0,0,0,0,4.15657,4.444107,0.5600637,0.8993593,0.3633363,0.805157,1,1,0.8071668,True,False
-0.144043,-0.2027283,0.9685669,-0.1468353,-0.0799408,-0.0799408,-0.1466064,-0.09552002,0.9845581,0,0,0,0,0,0,4.386368,4.430069,0.5557466,0.9013617,0.3606368,0.8047747,1,1,0.8183717,True,False
-0.1463623,-0.1755219,0.973526,-0.0566864,-0.07820129,-0.07820129,-0.07276917,-0.09568787,0.9927368,0,0,0,0,0,0,4.090439,4.155762,0.5446528,0.8967443,0.3299494,0.8165255,1,1,0.8291935,True,False
-0.06880188,-0.2483368,0.966217,0.07022095,-0.09918213,-0.09918213,-0.04107666,-0.2191925,0.9748077,0,0,0,0,0,0,3.757828,4.138763,0.5245839,0.9162391,0.3010142,0.8282348,1,1,0.8406329,True,False
-0.07902527,-0.08929443,0.9928589,0.03344727,-0.1537323,-0.1537323,-0.03930664,-0.1123047,0.9928894,0,0,0,0,0,0,4.193665,4.126099,0.5216448,0.8861656,0.3002256,0.8384963,1,1,0.8516653,True,False
-0.0887146,-0.156189,0.9837189,0.002441406,-0.1164856,-0.1164856,-0.08816528,-0.1559448,0.9838104,0,0,0,0,0,0,4.109802,4.229004,0.5227808,0.9020056,0.3046823,0.8352201,1,1,0.8625032,True,False
0.1060028,-0.2897644,0.9512024,0.04231262,-0.1103668,-0.1103668,0.1059875,-0.2897186,0.9512177,0,0,0,0,0,0,4.06514,4.255386,0.489301,0.9320967,0.2975934,0.8351986,1,1,0.8739533,True,False
-0.1320648,-0.2852173,0.9493103,0.0592041,-0.09114075,-0.09114075,-0.1320496,-0.2852173,0.9493103,0,0,0,0,0,0,4.029678,4.269852,0.5310203,0.9331968,0.294794,0.8320337,1,1,0.8850405,True,False
-0.0778656,-0.2045441,0.9757385,0.04573059,-0.1063232,-0.1063232,-0.0778656,-0.2045441,0.9757385,0,0,0,0,0,0,4.114471,4.323044,0.5200855,0.9134426,0.296764,0.835026,1,1,0.8958842,True,False
-0.1308289,-0.1272125,0.9832001,0.01222229,-0.1140747,-0.1140747,-0.1308136,-0.1272125,0.9832001,0,0,0,0,0,0,4.028473,4.456039,0.5293598,0.8958055,0.3027127,0.8360724,1,1,0.9072806,True,False
-0.1018219,-0.1137238,0.988266,0.06140137,-0.1084595,-0.1084595,-0.1006622,-0.1137085,0.9883881,0,0,0,0,0,0,4.346603,4.209595,0.5242708,0.8943977,0.2945673,0.8387547,1,1,0.9182605,True,False
-0.06289673,-0.2653809,0.9620819,0.01930237,-0.1126556,-0.1126556,-0.06289673,-0.2653809,0.9620819,0,0,0,0,0,0,4.111237,4.32692,0.5172154,0.924791,0.3035037,0.8331184,1,1,0.9291422,True,False
-0.08248901,-0.2707062,0.9591064,0.01019287,-0.1558685,-0.1558685,-0.08248901,-0.2707062,0.9591064,0,0,0,0,0,0,4.117279,4.109924,0.5207431,0.9260404,0.3050801,0.8402993,1,1,0.9407095,True,False
-0.1357574,-0.2725372,0.9525146,0.02044678,-0.1631622,-0.1631622,-0.1357574,-0.2725372,0.9525146,0,0,0,0,0,0,4.230499,4.086166,0.5304592,0.9278897,0.3037376,0.8407028,1,1,0.9517021,True,False
-0.08357239,-0.2596741,0.9620667,0.07647705,-0.07962036,-0.07962036,-0.08357239,-0.2596741,0.9620667,0,0,0,0,0,0,4.179718,4.13353,0.5206921,0.9243596,0.2929382,0.8320351,1,1,0.9626992,True,False
-0.07769775,-0.2150574,0.9734955,0.009567261,-0.1400452,-0.1400452,-0.07769775,-0.2150574,0.9734955,0,0,0,0,0,0,4.125229,4.280029,0.5187225,0.9134943,0.3050318,0.8370245,1,1,0.9737021,True,False
-0.01805115,-0.2022095,0.9791718,0.02244568,-0.1271515,-0.1271515,-0.01805115,-0.2022095,0.9791718,0,0,0,0,0,0,3.938126,4.282822,0.5079561,0.9092221,0.3022454,0.8350433,1,1,0.9848371,True,False
0,0,0,0.02124023,-0.1280365,-0.1280365,0.03147888,-0.2790375,0.9597473,0,0,0,0,0,0,-1,4.282349,-1,-1,0.3022454,0.8350433,1,1,0.9958684,True,False
0.00402832,-0.2717133,0.9623566,0.01902771,-0.1240845,-0.1240845,0.00402832,-0.2717133,0.9623566,0,0,0,0,0,0,4.127136,4.238556,0.5041749,0.9140286,0.302819,0.8341272,1,1,1.007042,True,False
-0.01660156,-0.146286,0.98909,0.01554871,-0.1242981,-0.1242981,-0.0165863,-0.1462708,0.98909,0,0,0,0,0,0,4.070496,4.191986,0.5081444,0.9003723,0.3033925,0.833959,1,1,1.018336,True,False
-0.02532959,-0.1350708,0.990509,-0.02124023,-0.1052856,-0.1052856,-0.0239563,-0.1250916,0.9918518,0,0,0,0,0,0,4.079529,4.407013,0.5093782,0.9003723,0.3111574,0.8306521,1,1,1.029355,True,False
-0.02140808,-0.1612396,0.9866791,0.03210449,-0.05366516,-0.05366516,-0.02032471,-0.1590729,0.9870453,0,0,0,0,0,0,4.031464,4.478256,0.5087613,0.9038554,0.3006854,0.8290486,1,1,1.040326,True,False
-0.01774597,-0.1813812,0.9832458,0.03697205,-0.1329803,-0.1329803,-0.01303101,-0.1772461,0.9840698,0,0,0,0,0,0,4.039719,4.263611,0.5081444,0.9073386,0.3025254,0.8339692,1,1,1.051821,True,False
0,0,0,0.02688599,-0.1374512,-0.1374512,0.02688599,-0.1374512,0.9901276,0,0,0,0,0,0,-1,4.215363,-1,-1,0.3043093,0.8341351,1,1,1.062447,True,False
0.04452515,-0.3060608,0.9509583,-0.002670288,-0.1237335,-0.1237335,0.04452515,-0.3060608,0.9509583,0,0,0,0,0,0,4.130417,4.300552,0.4954618,0.9275699,0.305198,0.8363174,1,1,1.073877,True,False
