gaze_direction_left_x,gaze_direction_left_y,gaze_direction_left_z,gaze_direction_right_x,gaze_direction_right_y,gaze_direction_right_z,gaze_direction_combined_x,gaze_direction_combined_y,gaze_direction_combined_z,gaze_origin_left_x,gaze_origin_left_y,gaze_origin_left_z,gaze_origin_right_x,gaze_origin_right_y,gaze_origin_right_z,pupil_diameter_left,pupil_diameter_right,pupil_position_left_x,pupil_position_left_y,pupil_positi_right_x,pupil_positin_right_y,eye_open_left,eye_open_right,time,validity,emotion
-0.08071899,-0.1006927,0.9916229,0.04852295,-0.1375732,-0.1375732,-0.001327515,-0.1236115,0.9923248,0,0,0,0,0,0,3.889282,3.721298,0.5863247,0.630828,0.380502,0.6162806,1,1,0.9545742,True,False
-0.06643677,-0.1104126,0.9916534,0.00553894,-0.09494019,-0.09494019,-0.02287292,-0.10112,0.9945984,0,0,0,0,0,0,4.10025,4.062576,0.5843788,0.6340001,0.3893865,0.609416,1,1,0.9657367,True,False
-0.06904602,-0.1034241,0.9922333,0.01017761,-0.09281921,-0.09281921,-0.04121399,-0.09976196,0.9941406,0,0,0,0,0,0,4.059082,4.043198,0.5853724,0.6334704,0.3894296,0.6086475,1,1,0.9770979,True,False
-0.07949829,-0.08973694,0.9927826,0.009338379,-0.09883118,-0.09883118,-0.07949829,-0.08973694,0.9927826,0,0,0,0,0,0,4.018448,3.908463,0.5882108,0.6330326,0.3918596,0.6068548,1,1,0.9878855,True,False
-0.08531189,-0.09143066,0.9921417,-0.002975464,-0.0982666,-0.0982666,-0.08531189,-0.09143066,0.9921417,0,0,0,0,0,0,4.056793,3.987976,0.5893889,0.6344873,0.3933791,0.6074408,1,1,0.9991412,True,False
-0.07740784,-0.07519531,0.9941559,0.005264282,-0.07106018,-0.07106018,-0.07740784,-0.07519531,0.9941559,0,0,0,0,0,0,4.010742,3.846161,0.5878575,0.6324022,0.3917471,0.6038732,1,1,1.010099,True,False
-0.0838623,-0.1012573,0.9913025,-0.0001678467,-0.07914734,-0.07914734,-0.0838623,-0.1012573,0.9913025,0,0,0,0,0,0,3.987091,3.881607,0.5893806,0.6372851,0.392685,0.6038732,1,1,1.021384,True,False
-0.07553101,-0.08770752,0.9932709,-0.003646851,-0.07662964,-0.07662964,-0.07553101,-0.08770752,0.9932709,0,0,0,0,0,0,4.016861,3.876587,0.5877569,0.6356201,0.3931446,0.6040523,1,1,1.032401,True,False
-0.09136963,-0.1028595,0.9904785,0.001281738,-0.08250427,-0.08250427,-0.09132385,-0.1028595,0.9904785,0,0,0,0,0,0,4.093567,3.947952,0.5901938,0.639117,0.3928373,0.6046172,1,1,1.043438,True,False
-0.07376099,-0.08903503,0.9932861,-0.006439209,-0.08532715,-0.08532715,-0.07362366,-0.08903503,0.9933014,0,0,0,0,0,0,3.997147,3.91452,0.5876645,0.6375108,0.3944844,0.6062494,1,1,1.055089,True,False
-0.07455444,-0.09294128,0.9928741,-0.004211426,-0.07582092,-0.07582092,-0.07453918,-0.09294128,0.9928741,0,0,0,0,0,0,4.010391,3.946304,0.5882393,0.638754,0.3945692,0.6051701,1,1,1.065715,True,False
